Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[121]   0.01  1.1e-3   0.01 6.3e-4 2.8e-3 6.0e-3   0.01   0.05    143   1.01
var_ind_temporal[122]   0.02  1.5e-3   0.02 2.1e-3 8.8e-3   0.02   0.03   0.08    200   1.02
var_ind_temporal[123]   0.01  7.4e-4   0.01 2.2e-3 6.8e-3   0.01   0.02   0.05    259   1.03
var_ind_temporal[124]   0.02  1.1e-3   0.02 1.9e-3 6.5e-3   0.01   0.02   0.06    214   1.01
var_ind_temporal[125] 5.5e-3  4.8e-4 6.4e-3 5.0e-4 1.8e-3 3.5e-3 6.7e-3   0.02    172   1.02
var_ind_temporal[126]   0.01 10.0e-4   0.01 9.6e-4 4.8e-3   0.01   0.02   0.05    168   1.01
var_ind_temporal[127]   0.01  7.5e-4   0.01 7.5e-4 3.4e-3 7.4e-3   0.01   0.04    189   1.02
var_ind_temporal[128]   0.01  6.8e-4 9.3e-3 8.1e-4 3.6e-3 7.0e-3   0.01   0.04    190   1.01
var_ind_temporal[129]   0.02  6.5e-4   0.01 2.2e-3 7.1e-3   0.01   0.02   0.05    336    1.0
var_ind_temporal[130] 6.4e-3  5.8e-4 6.6e-3 8.7e-4 2.5e-3 4.4e-3 7.8e-3   0.02    128   1.04
var_ind_temporal[131]   0.03  1.7e-3   0.03 1.4e-3 7.9e-3   0.02   0.04   0.09    231    1.0
var_ind_temporal[132]   0.01  9.2e-4   0.01 1.0e-3 4.2e-3 8.2e-3   0.02   0.05    172   1.01
var_ind_temporal[133] 6.7e-3  8.3e-4 8.0e-3 4.5e-4 2.1e-3 4.2e-3 8.1e-3   0.03     92   1.03
var_ind_temporal[134] 5.6e-3  4.6e-4 5.8e-3 4.6e-4 2.0e-3 3.9e-3 7.2e-3   0.02    156   1.02
var_ind_temporal[135] 7.0e-3  7.4e-4 8.3e-3 4.4e-4 1.9e-3 4.3e-3 9.0e-3   0.03    127   1.02
var_ind_temporal[136]   0.01  1.1e-3   0.01 1.8e-3 5.3e-3 9.4e-3   0.02   0.05    137   1.03
var_ind_temporal[137] 9.6e-3  9.2e-4 8.5e-3 9.3e-4 3.6e-3 7.0e-3   0.01   0.03     86   1.04
var_ind_temporal[138] 5.4e-3  4.8e-4 5.7e-3 4.6e-4 1.9e-3 3.7e-3 7.0e-3   0.02    141   1.01
var_ind_temporal[139] 6.3e-3  7.7e-4 8.7e-3 2.4e-4 1.7e-3 3.8e-3 7.5e-3   0.03    126   1.03
var_ind_temporal[140] 9.0e-3  6.2e-4 8.2e-3 1.4e-3 3.7e-3 6.4e-3   0.01   0.03    179   1.03
var_ind_temporal[141]   0.02  1.2e-3   0.02 1.2e-3 5.6e-3   0.01   0.02   0.05    167   1.03
var_ind_temporal[142] 9.5e-3  7.6e-4 8.8e-3 8.4e-4 3.4e-3 6.7e-3   0.01   0.03    133   1.01
var_ind_temporal[143]   0.02  7.5e-4   0.01 3.0e-3 8.1e-3   0.01   0.02   0.05    354   1.01
var_ind_temporal[144]   0.11  5.5e-3    0.1 7.7e-3   0.04   0.09   0.15   0.37    310    1.0
var_ind_temporal[145]   0.02  8.9e-4   0.01 3.4e-3 8.5e-3   0.01   0.02   0.06    273   1.02
var_ind_temporal[146]   0.01  7.8e-4   0.01 1.4e-3 4.8e-3 9.1e-3   0.02   0.04    192   1.04
var_ind_temporal[147]   0.01  1.2e-3   0.01 1.1e-3 4.9e-3 9.6e-3   0.02   0.05    108   1.02
var_ind_temporal[148] 8.7e-3  7.3e-4 8.5e-3 7.1e-4 3.2e-3 6.0e-3   0.01   0.03    136   1.02
var_ind_temporal[149]   0.01  1.4e-3   0.02 9.4e-4 3.4e-3 8.1e-3   0.02   0.06    122   1.05
var_ind_temporal[150] 9.4e-3  9.9e-4   0.01 5.9e-4 2.7e-3 5.9e-3   0.01   0.04    115   1.04
var_ind_temporal[151]   0.01  1.3e-3   0.01 7.0e-4 3.4e-3 6.8e-3   0.01   0.04     69   1.07
var_ind_temporal[152] 7.3e-3  7.2e-4 7.9e-3 6.0e-4 2.3e-3 4.8e-3 9.6e-3   0.03    122   1.03
var_ind_temporal[153]   0.01  1.3e-3   0.01 9.7e-4 3.9e-3 7.5e-3   0.01   0.04     74   1.04
var_ind_temporal[154]   0.02  2.3e-3   0.02 1.3e-3 4.9e-3   0.01   0.02   0.07     78   1.04
var_ind_temporal[155]   0.14  2.6e-3   0.06   0.05   0.09   0.13   0.18    0.3    637    1.0
var_ind_temporal[156] 9.2e-3  9.3e-4 8.4e-3 5.8e-4 3.4e-3 6.6e-3   0.01   0.03     82   1.03
var_ind_temporal[157] 6.9e-3  4.6e-4 6.5e-3 9.1e-4 3.1e-3 5.0e-3 8.6e-3   0.03    200   1.01
var_ind_temporal[158]   0.03  3.4e-3   0.05 1.6e-3 9.6e-3   0.02   0.04   0.14    193   1.02
var_ind_temporal[159]   0.01  9.3e-4   0.01 8.8e-4 4.1e-3 8.3e-3   0.01   0.04    143   1.03
var_ind_temporal[160] 6.0e-3  5.7e-4 6.3e-3 6.5e-4 2.1e-3 4.0e-3 7.7e-3   0.02    122   1.01
var_ind_temporal[161]   0.01  1.3e-3   0.02 1.4e-3 4.5e-3 8.4e-3   0.02   0.06    163   1.02
var_ind_temporal[162] 8.6e-3  9.0e-4   0.01 6.5e-4 2.7e-3 5.3e-3   0.01   0.04    135   1.01
var_ind_temporal[163] 4.5e-3  3.1e-4 3.9e-3 5.0e-4 1.8e-3 3.3e-3 5.8e-3   0.01    163   1.02
var_ind_temporal[164] 7.0e-3  7.1e-4 8.2e-3 4.6e-4 2.2e-3 4.4e-3 8.5e-3   0.03    133   1.02
var_ind_temporal[165]   0.01  8.2e-4   0.01 1.1e-3 4.8e-3 9.2e-3   0.02   0.04    208   1.02
var_ind_temporal[166] 8.2e-3  8.1e-4 9.7e-3 5.7e-4 2.4e-3 5.0e-3   0.01   0.04    146   1.02
var_ind_temporal[167]   0.01  1.0e-3   0.01 8.8e-4 3.6e-3 6.7e-3   0.01   0.04    119   1.02
var_ind_temporal[168] 6.0e-3  7.1e-4 7.1e-3 3.4e-4 1.7e-3 3.6e-3 7.6e-3   0.03    101   1.02
var_ind_temporal[169] 9.5e-3  1.3e-3   0.01 8.0e-4 2.7e-3 5.8e-3   0.01   0.04     76   1.05
var_ind_temporal[170] 7.6e-3  1.3e-3   0.01 3.5e-4 2.0e-3 4.6e-3 9.3e-3   0.03     63   1.08
var_ind_temporal[171] 6.4e-3  5.3e-4 6.7e-3 7.3e-4 2.7e-3 4.5e-3 8.1e-3   0.02    158   1.01
var_ind_temporal[172]   0.01  9.3e-4   0.01 1.3e-3 5.1e-3 9.7e-3   0.02   0.05    176   1.01
var_ind_temporal[173]   0.01  1.2e-3   0.01 1.0e-3 4.3e-3 8.4e-3   0.02   0.05    106   1.05
var_ind_temporal[174]   0.01  1.4e-3   0.01 7.9e-4 3.3e-3 6.5e-3   0.01   0.05     98   1.04
var_ind_temporal[175] 7.9e-3  6.7e-4 8.0e-3 6.7e-4 2.5e-3 5.3e-3   0.01   0.03    143   1.01
var_ind_temporal[176] 8.9e-3  4.6e-4 6.8e-3 1.6e-3 4.4e-3 7.3e-3   0.01   0.03    222   1.04
var_ind_temporal[177]   0.17  3.4e-3   0.09   0.05   0.11   0.15   0.21   0.39    684    1.0
var_ind_temporal[178] 8.1e-3  1.3e-3 9.7e-3 3.6e-4 2.2e-3 5.0e-3   0.01   0.03     55   1.06
var_ind_temporal[179] 8.1e-3  7.5e-4 8.0e-3 1.1e-3 3.4e-3 5.7e-3   0.01   0.03    115   1.03
var_ind_temporal[180]   0.01  1.8e-3   0.02 7.3e-4 3.2e-3 7.0e-3   0.02   0.05     94   1.04
