Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[84]    0.01  9.8e-4   0.01 6.8e-4 3.0e-3 6.4e-3   0.01   0.05    159   1.02
var_ind_temporal[85]    0.01  1.7e-3   0.02 3.5e-4 2.6e-3 5.9e-3   0.01   0.06     87   1.04
var_ind_temporal[86]    0.01  7.7e-4 9.3e-3 9.8e-4 3.8e-3 7.3e-3   0.01   0.03    145   1.03
var_ind_temporal[87]    0.02  1.3e-3   0.02 1.4e-3 5.8e-3   0.01   0.02   0.06    207   1.01
var_ind_temporal[88]    0.01  1.7e-3   0.02 4.5e-4 2.4e-3 6.2e-3   0.01   0.06     94   1.04
var_ind_temporal[89]  5.1e-3  6.3e-4 5.6e-3 3.8e-4 1.6e-3 3.2e-3 6.6e-3   0.02     78   1.03
var_ind_temporal[90]    0.01  1.1e-3   0.01 7.1e-4 2.9e-3 6.4e-3   0.01   0.05    140   1.02
var_ind_temporal[91]    0.01  1.7e-3   0.02 3.7e-4 2.8e-3 6.2e-3   0.01   0.06     98   1.03
var_ind_temporal[92]  9.9e-3  1.2e-3   0.01 6.4e-4 3.0e-3 6.3e-3   0.01   0.04    123   1.03
var_ind_temporal[93]  8.7e-3  6.3e-4 8.2e-3 4.6e-4 3.2e-3 6.4e-3   0.01   0.03    167   1.01
var_ind_temporal[94]    0.01  7.8e-4   0.01 1.2e-3 4.4e-3 8.1e-3   0.01   0.04    219   1.01
var_ind_temporal[95]    0.01  1.6e-3   0.02 8.4e-4 4.2e-3 8.9e-3   0.02   0.06    178   1.03
var_ind_temporal[96]    0.01  1.1e-3   0.01 4.7e-4 2.6e-3 6.6e-3   0.01   0.05    139   1.01
var_ind_temporal[97]  6.6e-3  6.0e-4 7.4e-3 7.1e-4 2.4e-3 4.5e-3 8.2e-3   0.02    153   1.01
var_ind_temporal[98]    0.02  2.3e-3   0.02 1.4e-3 5.6e-3   0.01   0.03   0.07     68   1.05
var_ind_temporal[99]  8.5e-3  9.2e-4   0.01 6.1e-4 2.6e-3 5.1e-3   0.01   0.04    122   1.03
var_ind_temporal[100]   0.14  2.5e-3   0.07   0.06   0.09   0.13   0.17   0.32    784    1.0
var_ind_temporal[101] 8.5e-3  1.2e-3   0.01 5.7e-4 2.3e-3 4.5e-3 9.6e-3   0.04     86   1.03
var_ind_temporal[102] 8.9e-3  5.9e-4 8.6e-3 9.4e-4 3.5e-3 6.3e-3   0.01   0.03    215   1.02
var_ind_temporal[103]   0.02  1.3e-3   0.02 1.2e-3 4.6e-3 9.7e-3   0.02   0.06    167   1.01
var_ind_temporal[104]   0.15  3.7e-3   0.08   0.04   0.09   0.13   0.18   0.35    466    1.0
var_ind_temporal[105]   0.01  7.1e-4   0.01 1.5e-3 5.1e-310.0e-3   0.02   0.05    258   1.01
var_ind_temporal[106]   0.22  3.3e-3   0.09    0.1   0.16   0.21   0.27   0.45    750    1.0
var_ind_temporal[107]   0.02  7.8e-4   0.01 2.4e-3 6.8e-3   0.01   0.02   0.05    289   1.01
var_ind_temporal[108] 6.2e-3  5.1e-4 6.4e-3 6.0e-4 2.3e-3 4.2e-3 7.9e-3   0.02    155   1.01
var_ind_temporal[109]   0.01  1.1e-3   0.01 1.4e-3 4.8e-3 8.8e-3   0.02   0.04    156   1.01
var_ind_temporal[110] 8.1e-3  8.6e-4   0.01 4.6e-4 2.1e-3 4.5e-3 9.7e-3   0.04    152   1.04
var_ind_temporal[111] 9.0e-3  8.1e-4 8.3e-3 1.1e-3 3.8e-3 6.5e-3   0.01   0.03    107   1.05
var_ind_temporal[112] 4.7e-3  4.5e-4 4.7e-3 2.7e-4 1.6e-3 3.2e-3 6.0e-3   0.02    108   1.04
var_ind_temporal[113] 8.4e-3  8.5e-4 9.1e-3 3.9e-4 2.4e-3 5.6e-3   0.01   0.04    115   1.04
var_ind_temporal[114]   0.02  1.4e-3   0.02 1.5e-3 5.0e-3 9.7e-3   0.02   0.07    189   1.01
var_ind_temporal[115] 8.8e-3  1.4e-3 9.0e-3 8.1e-4 3.4e-3 6.1e-3   0.01   0.03     41   1.07
var_ind_temporal[116] 4.6e-3  5.9e-4 5.3e-3 3.2e-4 1.2e-3 2.7e-3 6.0e-3   0.02     80   1.03
var_ind_temporal[117]   0.01  1.3e-3   0.01 6.0e-4 3.1e-3 6.9e-3   0.01   0.05    121   1.04
var_ind_temporal[118] 9.4e-3  7.5e-410.0e-3 5.2e-4 2.9e-3 6.3e-3   0.01   0.04    179   1.01
var_ind_temporal[119]   0.01  9.3e-4   0.01 1.3e-3 4.8e-3 8.7e-3   0.01   0.04    153   1.01
var_ind_temporal[120] 8.6e-3  9.7e-4   0.01 4.1e-4 2.5e-3 5.2e-3   0.01   0.04    114   1.03
var_ind_temporal[121] 9.4e-3  8.8e-4   0.01 5.0e-4 2.8e-3 6.1e-3   0.01   0.04    137   1.01
var_ind_temporal[122]   0.02  1.6e-3   0.02 1.5e-3 7.3e-3   0.02   0.03   0.08    170   1.01
var_ind_temporal[123]   0.01  7.7e-4   0.01 2.2e-3 6.1e-3   0.01   0.02   0.05    286   1.02
var_ind_temporal[124]   0.02  1.0e-3   0.01 1.2e-3 5.7e-3   0.01   0.02   0.05    181   1.02
var_ind_temporal[125] 5.8e-3  5.1e-4 6.1e-3 4.4e-4 1.9e-3 4.1e-3 7.4e-3   0.02    147   1.03
var_ind_temporal[126]   0.01  9.1e-4   0.01 1.4e-3 5.4e-3   0.01   0.02   0.05    178   1.01
var_ind_temporal[127] 9.6e-3  6.6e-4 9.0e-3 6.2e-4 3.5e-3 7.0e-3   0.01   0.03    187   1.02
var_ind_temporal[128] 9.2e-3  5.8e-4 8.5e-3 1.0e-3 3.8e-3 6.7e-3   0.01   0.03    213    1.0
var_ind_temporal[129]   0.01  5.7e-4   0.01 2.4e-3 7.0e-3   0.01   0.02   0.04    334    1.0
var_ind_temporal[130] 5.9e-3  4.5e-4 6.2e-3 5.6e-4 2.2e-3 3.9e-3 7.2e-3   0.02    195   1.02
var_ind_temporal[131]   0.02  2.1e-3   0.02 1.1e-3 8.1e-3   0.02   0.03   0.09    130   1.02
var_ind_temporal[132]   0.01  8.2e-4   0.01 1.3e-3 4.3e-3 8.1e-3   0.01   0.04    203   1.02
var_ind_temporal[133] 4.7e-3  7.3e-4 5.6e-3 2.4e-4 1.3e-3 2.8e-3 6.2e-3   0.02     58   1.08
var_ind_temporal[134] 5.7e-3  6.7e-4 5.7e-3 3.9e-4 1.7e-3 4.0e-3 7.6e-3   0.02     72   1.04
var_ind_temporal[135] 5.9e-3  6.9e-4 8.3e-3 3.8e-4 1.6e-3 3.5e-3 7.0e-3   0.03    145   1.03
var_ind_temporal[136]   0.01  1.1e-3   0.01 6.4e-4 3.2e-3 6.9e-3   0.01   0.04    112   1.04
var_ind_temporal[137] 8.7e-3  6.4e-4 8.0e-3 7.0e-4 3.4e-3 6.4e-3   0.01   0.03    158   1.02
var_ind_temporal[138] 5.4e-3  3.9e-4 4.9e-3 4.9e-4 2.2e-3 4.0e-3 7.1e-3   0.02    159   1.04
var_ind_temporal[139] 4.9e-3  5.5e-4 5.9e-3 1.8e-4 1.3e-3 3.0e-3 6.4e-3   0.02    113   1.03
var_ind_temporal[140] 9.2e-3  6.3e-4 9.0e-3 1.2e-3 3.6e-3 6.6e-3   0.01   0.03    203   1.02
var_ind_temporal[141]   0.02  1.2e-3   0.02 1.4e-3 5.8e-3   0.01   0.02   0.06    192   1.01
var_ind_temporal[142] 8.6e-3  6.6e-4 8.4e-3 8.6e-4 3.0e-3 6.1e-3   0.01   0.03    159   1.01
var_ind_temporal[143]   0.02  7.3e-4   0.01 2.8e-3 7.8e-3   0.01   0.02   0.05    323    1.0
var_ind_temporal[144]    0.1  7.0e-3   0.09 2.8e-3   0.03   0.08   0.15   0.34    170   1.02
var_ind_temporal[145]   0.02  1.1e-3   0.01 2.6e-3 8.9e-3   0.01   0.02   0.06    174   1.02
var_ind_temporal[146]   0.01  1.2e-3   0.01 6.4e-4 4.1e-3 9.2e-3   0.02   0.05    141   1.01
var_ind_temporal[147]   0.01  1.4e-3   0.02 1.0e-3 4.2e-3 8.4e-3   0.02   0.06    115   1.04
var_ind_temporal[148] 9.5e-3  6.6e-4 9.4e-310.0e-4 3.6e-3 6.8e-3   0.01   0.03    200   1.02
var_ind_temporal[149]   0.01  8.7e-4   0.01 1.2e-3 4.4e-3 8.1e-3   0.02   0.04    168   1.01
var_ind_temporal[150]   0.01  1.7e-3   0.01 4.0e-4 3.2e-3 7.4e-3   0.01   0.04     44   1.06
